CHAMPIONNAT;DATE;HEURE;DOM;scoreD;scoreE;EXT
réserve R1;2023-09-24;13h45;SA MONEIN;;;RAS ESCOU-LASSEUBE
réserve R1;2023-10-01;13h45;ES ARUDYENNE;;;SA MONEIN
réserve R1;2023-10-08;13h45;SA MONEIN;;;HABAS RUGBY
réserve R1;2023-10-15;13h45;BENEJACQ OLYMPIQUE;;;SA MONEIN
réserve R1;2023-11-05;13h45;SA MONEIN;;;CAPBRETON HOSSEGOR RUGBY
réserve R1;2023-11-12;13h45;ES LEMBEYE;;;SA MONEIN
réserve R1;2023-11-19;13h45;SA MONEIN;;;RC BAL
réserve R1;2023-12-03;13h45;SA MONEIN;;;RC POUILLON LABATUT XV
réserve R1;2023-12-10;13h45;BIDART UNION CLUB;;;SA MONEIN
réserve R1;2023-12-17;13h45;RAS ESCOU-LASSEUBE;;;SA MONEIN
réserve R1;2024-01-14;13h45;SA MONEIN;;;ES ARUDYENNE
réserve R1;2024-01-21;13h45;HABAS RUGBY;;;SA MONEIN
réserve R1;2024-01-28;13h45;SA MONEIN;;;BENEJACQ OLYMPIQUE
réserve R1;2024-02-11;13h45;CAPBRETON HOSSEGOR RUGBY;;;SA MONEIN
réserve R1;2024-02-18;13h45;SA MONEIN;;;ES LEMBEYE
réserve R1;2024-03-03;13h45;RC BAL;;;SA MONEIN
réserve R1;2024-03-10;13h45;RC POUILLON LABATUT XV;;;SA MONEIN
réserve R1;2024-03-24;13h45;SA MONEIN;;;BIDART UNION CLUB
